integration_row_key	code	incompatibility	a_state	a_reported_denominator_participants	b_denominator_value_participants	c_arm_link_state	c_contested_flags	c_sole_arm_multi_results_group_flag	resolution	source_pointer
NCT02089334|OM4|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	11	11	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02089334] :: outcomeMeasures[4] :: groups[OG003]
NCT02259582|OM0|OG000	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:GROUP_TITLE_IS_A_TREATMENT_SEQUENCE_CONTAINING_A_PLACEBO_TOKEN	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	25	25	PROPOSED	GROUP_TITLE_IS_A_TREATMENT_SEQUENCE_CONTAINING_A_PLACEBO_TOKEN	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02259582] :: outcomeMeasures[0] :: groups[OG000]
NCT02259582|OM0|OG001	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:GROUP_TITLE_IS_A_TREATMENT_SEQUENCE_CONTAINING_A_PLACEBO_TOKEN	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	28	28	PROPOSED	GROUP_TITLE_IS_A_TREATMENT_SEQUENCE_CONTAINING_A_PLACEBO_TOKEN	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02259582] :: outcomeMeasures[0] :: groups[OG001]
NCT02347917|OM5|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG000]
NCT02347917|OM5|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG002]
NCT02347917|OM5|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	24	24	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG003]
NCT02347917|OM5|OG004	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	25	25	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02347917] :: outcomeMeasures[5] :: groups[OG004]
NCT02431260|OM7|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	UNSUITABLE_FOR_PROPORTION	10	10	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02431260] :: outcomeMeasures[7] :: groups[OG000]
NCT02566993|OM7|OG001	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:LEAF_CLAIMED_ARM_LABEL_NOT_PRESENT_IN_REGISTERED_ARMS	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	306		CONTESTED	LEAF_CLAIMED_ARM_LABEL_NOT_PRESENT_IN_REGISTERED_ARMS	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02566993] :: outcomeMeasures[7] :: groups[OG001]
NCT02567799|OM11|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	6		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02567799] :: outcomeMeasures[11] :: groups[OG000]
NCT02567799|OM11|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	7		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02567799] :: outcomeMeasures[11] :: groups[OG001]
NCT02567799|OM11|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	7		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02567799] :: outcomeMeasures[11] :: groups[OG002]
NCT02679170|OM8|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	91		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02679170] :: outcomeMeasures[8] :: groups[OG000]
NCT02679170|OM8|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	50		PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02679170] :: outcomeMeasures[8] :: groups[OG001]
NCT02762981|OM7|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	16	16	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02762981] :: outcomeMeasures[7] :: groups[OG000]
NCT02762981|OM7|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	16	16	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2014_2017.txt :: studies[nct=NCT02762981] :: outcomeMeasures[7] :: groups[OG001]
NCT03212274|OM0|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	16	16	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03212274] :: outcomeMeasures[0] :: groups[OG000]
NCT03212274|OM0|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	16	16	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03212274] :: outcomeMeasures[0] :: groups[OG001]
NCT03212274|OM0|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	15	15	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03212274] :: outcomeMeasures[0] :: groups[OG002]
NCT03212274|OM0|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	16	16	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03212274] :: outcomeMeasures[0] :: groups[OG003]
NCT03212274|OM0|OG004	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	25	25	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03212274] :: outcomeMeasures[0] :: groups[OG004]
NCT03212274|OM0|OG005	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	1	1	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03212274] :: outcomeMeasures[0] :: groups[OG005]
NCT03409614|OM7|OG001	SOURCE_INTERNAL_CONTRADICTION:C_CONTESTED:PLACEBO_CLAIM_WITHOUT_ANY_PLACEBO_TYPED_ARM_IN_THIS_CACHE	Two source fields of the same record state incompatible things about the same arm/comparator object; C2 records the conflict without resolving it.	NOT_REFUTED_BY_THIS_COMPONENT	154		PROPOSED	PLACEBO_CLAIM_WITHOUT_ANY_PLACEBO_TYPED_ARM_IN_THIS_CACHE	NO	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03409614] :: outcomeMeasures[7] :: groups[OG001]
NCT03711188|OM2|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	11	11	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03711188] :: outcomeMeasures[2] :: groups[OG000]
NCT03711188|OM2|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	5	5	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT03711188] :: outcomeMeasures[2] :: groups[OG001]
NCT04044768|OM4|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	44	44	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04044768] :: outcomeMeasures[4] :: groups[OG000]
NCT04044768|OM4|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	8	8	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04044768] :: outcomeMeasures[4] :: groups[OG001]
NCT04099641|OM2|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	61	61	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04099641] :: outcomeMeasures[2] :: groups[OG000]
NCT04099641|OM2|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	19	19	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04099641] :: outcomeMeasures[2] :: groups[OG001]
NCT04764474|OM3|OG000	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG000]
NCT04764474|OM3|OG001	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG001]
NCT04764474|OM3|OG002	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	10	10	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG002]
NCT04764474|OM3|OG003	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	5	5	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG003]
NCT04764474|OM3|OG004	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	5	5	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG004]
NCT04764474|OM3|OG005	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	4	4	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG005]
NCT04764474|OM3|OG006	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	3	3	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG006]
NCT04764474|OM3|OG007	SOURCE_INTERNAL_CONTRADICTION:SOLE_REGISTERED_ARM_VS_MULTIPLE_RESULTS_GROUPS	The record registers exactly one arm and reports several distinct results groups in the same outcome measure. Both cannot be true of one arm set.	NOT_REFUTED_BY_THIS_COMPONENT	8	8	PROPOSED		YES	RETAINED_UNRESOLVED__NO_FIELD_IS_DECLARED_WRONG	ctg_results_bor_2018_2021.txt :: studies[nct=NCT04764474] :: outcomeMeasures[3] :: groups[OG007]
